Age,Age_Group,Gender,Avg_Daily_Screen_Time_hr,awareness,Primary_Device,Device_Category,Screen_Size,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Health_Impact_Category,Urban_or_Rural
14,Teenagers,Male,3.99,Need Attention,Smartphone,Portable,<30,True,0.42,"Poor Sleep, Eye Strain",Both Physical and Mental,Urban
11,Pre-teens,Female,4.61,Need Attention,Laptop,Portable,<30,True,0.3,Poor Sleep,Mental,Urban
18,Late teens,Female,3.73,Need Attention,TV,Wallmounted,>30,True,0.32,Poor Sleep,Mental,Urban
15,Teenagers,Female,1.21,No harm,Laptop,Portable,<30,False,0.39,No health impacts,No Impact,Urban
12,Pre-teens,Female,5.89,Need Attention,Smartphone,Portable,<30,True,0.49,"Poor Sleep, Anxiety",Mental,Urban
14,Teenagers,Female,4.88,Need Attention,Smartphone,Portable,<30,True,0.44,Poor Sleep,Mental,Urban
17,Late teens,Male,2.97,No harm,TV,Wallmounted,>30,False,0.48,No health impacts,No Impact,Rural
10,Pre-teens,Male,2.74,No harm,TV,Wallmounted,>30,True,0.54,No health impacts,No Impact,Urban
14,Teenagers,Male,4.61,Need Attention,Laptop,Portable,<30,True,0.36,"Poor Sleep, Anxiety",Mental,Rural
18,Late teens,Male,3.24,Need Attention,Tablet,Portable,<30,True,0.48,"Poor Sleep, Obesity Risk",Both Physical and Mental,Urban
18,Late teens,Male,3.53,Need Attention,Tablet,Portable,<30,True,0.44,Poor Sleep,Mental,Rural
15,Teenagers,Female,4.94,Need Attention,TV,Wallmounted,>30,True,0.36,Poor Sleep,Mental,Rural
12,Pre-teens,Male,4.59,Need Attention,Smartphone,Portable,<30,True,0.43,Poor Sleep,Mental,Urban
11,Pre-teens,Male,6.08,Moderate Concern,TV,Wallmounted,>30,True,0.48,Eye Strain,Physical,Rural
15,Teenagers,Male,6.15,Moderate Concern,Smartphone,Portable,<30,True,0.4,Poor Sleep,Mental,Urban
15,Teenagers,Female,3.69,Need Attention,Smartphone,Portable,<30,True,0.34,Poor Sleep,Mental,Urban
10,Pre-teens,Female,7.1,Moderate Concern,Smartphone,Portable,<30,True,0.43,"Poor Sleep, Eye Strain",Both Physical and Mental,Rural
13,Teenagers,Female,6.98,Moderate Concern,Smartphone,Portable,<30,True,0.48,Obesity Risk,Physical,Urban
12,Pre-teens,Male,3.82,Need Attention,Smartphone,Portable,<30,True,0.4,Anxiety,Mental,Urban
9,Pre-teens,Female,0.0,No harm,TV,Wallmounted,>30,False,0.42,No health impacts,No Impact,Urban
15,Teenagers,Male,3.85,Need Attention,Smartphone,Portable,<30,True,0.49,Obesity Risk,Physical,Urban
13,Teenagers,Female,4.05,Need Attention,Smartphone,Portable,<30,True,0.33,Eye Strain,Physical,Urban
9,Pre-teens,Female,1.63,No harm,Tablet,Portable,<30,False,0.58,No health impacts,No Impact,Urban
12,Pre-teens,Female,6.78,Moderate Concern,TV,Wallmounted,>30,True,0.33,Eye Strain,Physical,Urban
8,Pre-teens,Male,3.19,Need Attention,Tablet,Portable,<30,True,0.54,"Poor Sleep, Anxiety, Obesity Risk",Both Physical and Mental,Urban
