Age,Age_Band,Avg_Screen_Time,Device_Category,Dynamic_Title,Edu_Recreation_Level,Educational_to_Recreational_Ratio,Exceeded_Recommended_Limit,Gender,Health_Impact_Category,Health_Impact_Perc,Health_Impacts,Most_Used_Device,Primary_Device,Total_Kids,Urban_or_Rural
8,Child,0.95,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.4,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,0,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.4,false,Female,No Health Impacts,,No Health Impacts,TV,TV,2,Urban
8,Child,0,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.4,false,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,0,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.4,false,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,3.86,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.4,true,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,3.74,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.4,true,Male,Physical Health,100.0%,Eye Strain,TV,TV,1,Rural
8,Child,6.95,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.4,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,1,Rural
8,Child,6.48,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.4,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,1,Urban
8,Child,1.13,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.41,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,0.04,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.41,false,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,1.015,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.41,false,Male,No Health Impacts,,No Health Impacts,TV,TV,2,Urban
8,Child,3.04,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.41,true,Female,Both,100.0%,"Poor Sleep, Eye Strain, Anxiety",TV,TV,1,Urban
8,Child,5.72,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.41,true,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,4.1,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.41,true,Female,Physical Health,100.0%,Eye Strain,TV,TV,1,Urban
8,Child,4.58,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.41,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,1,Rural
8,Child,8.155,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.41,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,2,Urban
8,Child,5.72,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.41,true,Male,Both,100.0%,"Eye Strain, Anxiety",TV,TV,1,Rural
8,Child,4.04,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.41,true,Male,Both,100.0%,"Poor Sleep, Anxiety",TV,TV,1,Rural
8,Child,5,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.41,true,Male,Mental Health,100.0%,Anxiety,TV,TV,1,Rural
8,Child,2.04,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.41,true,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,4.486666666666667,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.41,true,Male,No Health Impacts,,No Health Impacts,TV,TV,3,Urban
8,Child,6.81,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.41,true,Male,Physical Health,100.0%,Poor Sleep,TV,TV,1,Urban
8,Child,3.47,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.41,true,Male,Physical Health,100.0%,"Poor Sleep, Obesity Risk",TV,TV,1,Rural
8,Child,0.92,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.42,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,7.56,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.42,true,Female,Both,100.0%,"Poor Sleep, Eye Strain, Anxiety",TV,TV,1,Urban
8,Child,3.165,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.42,true,Female,No Health Impacts,,No Health Impacts,TV,TV,2,Rural
8,Child,3.34,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.42,true,Female,Physical Health,100.0%,Eye Strain,TV,TV,2,Urban
8,Child,5.223333333333334,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.42,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,3,Urban
8,Child,5.34,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.42,true,Female,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,1,Urban
8,Child,3.08,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.42,true,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,2.8,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.42,true,Male,No Health Impacts,,No Health Impacts,TV,TV,2,Urban
8,Child,0.38,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.43,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,1.98,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.43,false,Male,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,5.2,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.43,true,Female,Both,100.0%,"Poor Sleep, Anxiety",TV,TV,1,Urban
8,Child,4.693333333333333,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.43,true,Female,No Health Impacts,,No Health Impacts,TV,TV,3,Rural
8,Child,4.48,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.43,true,Female,No Health Impacts,,No Health Impacts,TV,TV,2,Urban
8,Child,2.885,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.43,true,Male,No Health Impacts,,No Health Impacts,TV,TV,2,Rural
8,Child,2.4,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.43,true,Male,No Health Impacts,,No Health Impacts,TV,TV,2,Urban
8,Child,3.53,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.43,true,Male,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,1,Rural
8,Child,7.97,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.43,true,Male,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,1,Urban
8,Child,0.98,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Rural),Medium,0.44,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Rural
8,Child,0.82,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.44,false,Female,No Health Impacts,,No Health Impacts,TV,TV,1,Urban
8,Child,4.16,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.44,true,Female,No Health Impacts,,No Health Impacts,TV,TV,5,Urban
8,Child,4.5,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.44,true,Female,Physical Health,100.0%,Eye Strain,TV,TV,1,Urban
8,Child,3.66,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.44,true,Female,Physical Health,100.0%,Poor Sleep,TV,TV,1,Urban
8,Child,4.65,"Fixed TV (>30"" inch)",Screen Time Insights for Child (Urban),Medium,0.44,true,Female,Physical Health,100.0%,"Poor Sleep, Eye Strain",TV,TV,2,Urban
