Age,Gender,Avg_Daily_Screen_Time_hr,Primary_Device,Exceeded_Recommended_Limit,Educational_to_Recreational_Ratio,Health_Impacts,Urban_or_Rural,Age_Band,Device_Type,Health_Impact_Type,Device_Share,Edu_Recreational_Percent
14,Male,3.99,Smartphone,True,0.42,"poor sleep, eye strain",Urban,Teenagers,Portable,Physical,0.47034596375617793,42.0
11,Female,4.61,Laptop,True,0.3,poor sleep,Urban,Pre-teens,Portable,Physical,0.1475494233937397,30.0
18,Female,3.73,TV,True,0.32,poor sleep,Urban,Late teens,Wallmounted,Physical,0.25607495881383857,32.0
15,Female,1.21,Laptop,False,0.39,no health impact,Urban,Teenagers,Portable,None,0.1475494233937397,39.0
12,Female,5.89,Smartphone,True,0.49,"poor sleep, anxiety",Urban,Pre-teens,Portable,Physical & Mental,0.47034596375617793,49.0
14,Female,4.88,Smartphone,True,0.44,poor sleep,Urban,Teenagers,Portable,Physical,0.47034596375617793,44.0
17,Male,2.97,TV,False,0.48,no health impact,Rural,Late teens,Wallmounted,None,0.25607495881383857,48.0
10,Male,2.74,TV,True,0.54,no health impact,Urban,Pre-teens,Wallmounted,None,0.25607495881383857,54.0
14,Male,4.61,Laptop,True,0.36,"poor sleep, anxiety",Rural,Teenagers,Portable,Physical & Mental,0.1475494233937397,36.0
18,Male,3.24,Tablet,True,0.48,"poor sleep, obesity risk",Urban,Late teens,Portable,Physical,0.12602965403624383,48.0
18,Male,3.53,Tablet,True,0.44,poor sleep,Rural,Late teens,Portable,Physical,0.12602965403624383,44.0
15,Female,4.94,TV,True,0.36,poor sleep,Rural,Teenagers,Wallmounted,Physical,0.25607495881383857,36.0
12,Male,4.59,Smartphone,True,0.43,poor sleep,Urban,Pre-teens,Portable,Physical,0.47034596375617793,43.0
11,Male,6.08,TV,True,0.48,eye strain,Rural,Pre-teens,Wallmounted,Physical,0.25607495881383857,48.0
15,Male,6.15,Smartphone,True,0.4,poor sleep,Urban,Teenagers,Portable,Physical,0.47034596375617793,40.0
15,Female,3.69,Smartphone,True,0.34,poor sleep,Urban,Teenagers,Portable,Physical,0.47034596375617793,34.0
10,Female,7.1,Smartphone,True,0.43,"poor sleep, eye strain",Rural,Pre-teens,Portable,Physical,0.47034596375617793,43.0
13,Female,6.98,Smartphone,True,0.48,obesity risk,Urban,Teenagers,Portable,Other,0.47034596375617793,48.0
12,Male,3.82,Smartphone,True,0.4,anxiety,Urban,Pre-teens,Portable,Mental,0.47034596375617793,40.0
9,Female,0.0,TV,False,0.42,no health impact,Urban,Pre-teens,Wallmounted,None,0.25607495881383857,42.0
15,Male,3.85,Smartphone,True,0.49,obesity risk,Urban,Teenagers,Portable,Other,0.47034596375617793,49.0
13,Female,4.05,Smartphone,True,0.33,eye strain,Urban,Teenagers,Portable,Physical,0.47034596375617793,33.0
9,Female,1.63,Tablet,False,0.58,no health impact,Urban,Pre-teens,Portable,None,0.12602965403624383,57.99999999999999
12,Female,6.78,TV,True,0.33,eye strain,Urban,Pre-teens,Wallmounted,Physical,0.25607495881383857,33.0
8,Male,3.19,Tablet,True,0.54,"poor sleep, anxiety, obesity risk",Urban,Pre-teens,Portable,Physical & Mental,0.12602965403624383,54.0
17,Male,4.96,Smartphone,True,0.32,no health impact,Urban,Late teens,Portable,None,0.47034596375617793,32.0
13,Female,1.85,Smartphone,False,0.49,no health impact,Urban,Teenagers,Portable,None,0.47034596375617793,49.0
16,Male,4.22,Smartphone,True,0.5,poor sleep,Urban,Teenagers,Portable,Physical,0.47034596375617793,50.0
8,Male,0.31,Smartphone,False,0.51,no health impact,Urban,Pre-teens,Portable,None,0.47034596375617793,51.0
18,Male,5.13,TV,True,0.43,"poor sleep, obesity risk",Urban,Late teens,Wallmounted,Physical,0.25607495881383857,43.0
18,Male,4.45,Smartphone,True,0.48,eye strain,Urban,Late teens,Portable,Physical,0.47034596375617793,48.0
17,Female,3.02,Smartphone,True,0.39,no health impact,Rural,Late teens,Portable,None,0.47034596375617793,39.0
10,Male,2.16,Tablet,True,0.41,no health impact,Urban,Pre-teens,Portable,None,0.12602965403624383,41.0
14,Male,4.28,Smartphone,True,0.34,eye strain,Rural,Teenagers,Portable,Physical,0.47034596375617793,34.0
